image,endpoint,beginning
frame_001094.png,131,417
frame_001095.png,129,416
frame_001096.png,127,417
frame_001097.png,126,413
frame_001098.png,124,414
frame_001099.png,123,412
frame_001100.png,121,413
frame_001101.png,119,407
frame_001102.png,118,407
frame_001103.png,116,403
frame_001104.png,114,402
frame_001105.png,113,400
frame_001106.png,111,395
frame_001107.png,110,398
frame_001108.png,108,396
frame_001109.png,106,394
frame_001110.png,104,393
frame_001111.png,103,391
frame_001112.png,101,390
frame_001113.png,99,388
frame_001114.png,98,387
frame_001115.png,96,383
frame_001116.png,95,382
frame_001117.png,93,380
frame_001118.png,91,381
frame_001119.png,90,379
frame_001120.png,88,379
frame_001121.png,86,374
frame_001122.png,85,375
frame_001123.png,83,373
frame_001124.png,81,371
frame_001125.png,79,371
frame_001126.png,77,368
frame_001127.png,76,367
frame_001128.png,74,366
frame_001129.png,72,362
frame_001130.png,71,363
frame_001131.png,69,360
frame_001132.png,68,359
frame_001133.png,66,356
frame_001134.png,64,355
frame_001135.png,63,354
frame_001136.png,61,351
frame_001137.png,59,350
frame_001138.png,58,349
frame_001139.png,56,346
frame_001140.png,54,345
frame_001141.png,52,342
frame_001142.png,51,340
frame_001143.png,49,340
frame_001144.png,47,338
frame_001145.png,46,336
frame_001146.png,44,334
frame_001147.png,42,333
frame_001148.png,41,331
